Банк	Лицензия	ликвдата	причина	статус	хреф
Форобанк	362	15.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с задержкой начала деятельности банка более чем на один год с даты издания приказа Банка России о признании утратившим силу приказа Банка России об аннулировании записи о регистрации устава указанного банка.</dd>]"	ликв.	/banks/memory/bank/?id=175766
Итильхлебобанк	2445	04.09.1998	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Акционерный коммерческий хлебный банк «Итильхлебобанк» о его добровольной ликвидации.</dd>]"	ликв.	/banks/memory/bank/?id=249272
Русский Народный Банк	2099	27.07.1998	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к Сибакадембанку (Новосибирск, регистрационный № 323).</dd>]"	ликв.	/banks/memory/bank/?id=248317
Лангепас	607	15.05.1998	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о реорганизации путем присоединения к коммерческому банку «Петрокоммерц» (Москва, регистрационный № 1776).</dd>]"	ликв.	/banks/memory/bank/?id=209221
Когалымнефтекомбанк	628	15.05.1998	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к коммерческому банку «Петрокоммерц» (Москва, регистрационный № 1776).</dd>]"	ликв.	/banks/memory/bank/?id=209223
Уральский Коммерческий Индустриальный Банк	1180	18.03.1998	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Уральский коммерческий индустриальный банк» («УралКИБ») о реорганизации банка путем присоединения к ООО «Свердловский губернский банк""
(Екатеринбург, регистрационный № 2975).</dd>]"	ликв.	/banks/memory/bank/?id=238332
Соколбанк	2163	23.01.1998	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к ОАО «Металлургический Коммерческий Банк» (Череповец, регистрационный № 901).</dd>]"	ликв.	/banks/memory/bank/?id=211902
Волгокредобанк	651	30.12.1997	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации и присоединении к Русскому Южному Банку (Волгоград, регистрационный № 2093).</dd>]"	ликв.	/banks/memory/bank/?id=210020
Татинфрабанк	2086	22.10.1997	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к банку «Ак Барс» (Казань, регистрационный № 2590).</dd>]"	ликв.	/banks/memory/bank/?id=248312
ХАКОбанк	595	04.09.1997	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к
Дальневосточному коммерческому банку «Далькомбанк» (Хабаровск, регистрационный № 84).</dd>]"	ликв.	/banks/memory/bank/?id=209213
Караидель	1842	02.04.1997	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников коммерческого банка о его реорганизации путем присоединения к коммерческому банку «Социнвестбанк» (Уфа, регистрационный № 1132).</dd>]"	ликв.	/banks/memory/bank/?id=204161
Лисмакомбанк	1193	02.04.1997	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к коммерческому банку «Актив банк» (Саранск, регистрационный № 2529).</dd>]"	ликв.	/banks/memory/bank/?id=204163
Сокольский Коммерческий Банк	1159	17.12.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к коммерческому банку «Вологжанин» (Вологда, регистрационный № 1896).</dd>]"	ликв.	/banks/memory/bank/?id=238304
Сания	14	10.11.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о прекращении его деятельности.</dd>]"	ликв.	/banks/memory/bank/?id=195511
Монерон	1880	26.08.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о ликвидации банка.</dd>]"	ликв.	/banks/memory/bank/?id=247289
Грязовецкий Коммерческий Банк	913	26.07.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к промышленно-купеческому банку «Традиция» (Вологда, регистрационный № 2728), ныне — Промэнергобанку.</dd>]"	ликв.	/banks/memory/bank/?id=217167
Переяславль	2004	13.06.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников Рязанского коммерческого банка «Переяславль» о реорганизации путем присоединения к муниципальному коммерческому банку им. Сергия Живаго (Рязань, регистрационный № 2065).</dd>]"	ликв.	/banks/memory/bank/?id=196020
Коопинвестбанк	2745	08.04.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к коммерческому банку «Импексбанк» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=250319
Устюженский Коммерческий Банк	816	13.03.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к ОАО «Металлургический коммерческий банк» (Череповец, регистрационный № 901).</dd>]"	ликв.	/banks/memory/bank/?id=216575
Илеш	673	11.03.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников Верхнеяркеевского коммерческого банка «Илеш» (с.Верхнеяркеево, Республика Башкортостан) о реорганизации путем присоединения к коммерческому банку «Икмекбанк» (Уфа, регистрационный № 2377), ныне — Инвесткапиталбанк.</dd>]"	ликв.	/banks/memory/bank/?id=210380
Московский Объединенный Банк	2634	05.02.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к коммерческому банку «Балчуг» (Москва, регистрационный № 1808).</dd>]"	ликв.	/banks/memory/bank/?id=203523
Брянскбизнесбанк	179	02.02.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о реорганизации путем присоединения к коммерческому банку «Брянский народный банк» (Брянск, регистрационный № 2784).</dd>]"	ликв.	/banks/memory/bank/?id=203520
Апатиткомбанк	1054	15.01.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к коммерческому банку «Мурман» (Мурманск, регистрационный № 763).</dd>]"	ликв.	/banks/memory/bank/?id=238113
Брянскрегионбанк	72	09.01.1996	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров муниципального акционерно-инвестиционного банка «Брянскрегионбанк» о реорганизации путем присоединения к акционерному коммерческому банку «Бежица-банк» (г. Брянск, регистрационный № 650).</dd>]"	ликв.	/banks/memory/bank/?id=195777
Арктикбанк	2160	09.11.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о реорганизации и присоединении к Московскому Индустриальному Банку (Москва, регистрационный № 912).</dd>]"	ликв.	/banks/memory/bank/?id=210055
Борзинский	1095	12.10.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации путем присоединения к Читакомпромстройбанку (Чита, регистрационный № 1339).</dd>]"	ликв.	/banks/memory/bank/?id=238252
Спасск	143	12.09.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров коммерческого акционерного банка «Спасск» о реорганизации путем присоединения банка к Российскому акционерному инвестиционно-коммерческому промышленно-строительному банку «Промстройбанк России» (Москва, регистрационный № 1449).</dd>]"	ликв.	/banks/memory/bank/?id=203467
Кыринский	1128	12.09.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников коммерческого банка «Кыринский» о его реорганизации путем присоединения к акционерному коммерческому банку «Забайкалзолотобанк» (г.Чита, регистрационный № 2353).</dd>]"	ликв.	/banks/memory/bank/?id=203470
Даурия	891	22.08.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к КБ «Забайкалзолотобанк» (Чита, регистрационный № 2353).</dd>]"	ликв.	/banks/memory/bank/?id=217142
Строитель	192	04.08.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров Воронежского акционерного коммерческого банка «Строитель» о реорганизации путем присоединения к коммерческому банку «Мосстройэкономбанк» (Москва, регистрационный № 948).</dd>]"	ликв.	/banks/memory/bank/?id=203548
Кирилловский	753	04.08.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к банку «Советский» (Вологда).</dd>]"	ликв.	/banks/memory/bank/?id=215867
Селигер	960	04.08.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к АКБ «Тверьуниверсалбанк» (Тверь, регистрационный № 777).</dd>]"	ликв.	/banks/memory/bank/?id=215871
Конкомбанк	1344	04.08.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к АКБ «Тверьуниверсалбанк» (Тверь, регистрационный № 777).</dd>]"	ликв.	/banks/memory/bank/?id=215873
Югмебельбанк	308	18.07.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о реорганизации путем присоединения к коммерческому банку «Донинвест» (Ростов-на-Дону, регистрационный № 1617).</dd>]"	ликв.	/banks/memory/bank/?id=204017
Роспочта-Банк	2628	18.07.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о реорганизации путем присоединения к коммерческому банку «Донинвест» (Ростов-на-Дону, регистрационный № 1617).</dd>]"	ликв.	/banks/memory/bank/?id=204019
Лукояновагрокомбанк	1091	23.05.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации банка путем присоединения
к Муниципальному инвестиционному акционерному банку «Нижегородский кредит» (Нижний Новгород, регистрационный № 2400).</dd>]"	ликв.	/banks/memory/bank/?id=238248
Сыктывкарбанк	484	24.04.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации путем присоединения к МАПО-Банку (Москва, регистрационный № 2292).</dd>]"	ликв.	/banks/memory/bank/?id=207467
Росвестбанк	823	24.04.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации путем присоединения к банку «Империал» (Москва, регистрационный № 1315).</dd>]"	ликв.	/banks/memory/bank/?id=207470
Верхнедонье	1913	24.04.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации путем присоединения к банку «Донинвест» (Ростов-на-Дону, регистрационный № 1617).</dd>]"	ликв.	/banks/memory/bank/?id=207474
Новоалександровский	855	24.04.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации путем присоединения к банку «Ставрополье» (Ставрополь, регистрационный № 1288).</dd>]"	ликв.	/banks/memory/bank/?id=207478
Дербент	645	24.03.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации путем присоединения к банку «Эльбин» (Махачкала, регистрационный № 2267).</dd>]"	ликв.	/banks/memory/bank/?id=199692
Комисоюзкоопбанк	213	24.03.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации путем присоединения к Сыктывкарбанку (Сыктывкар, регистрационный № 484).</dd>]"	ликв.	/banks/memory/bank/?id=199694
Севертрансбанк	1853	24.03.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации путем присоединения к Сургутнефтегазбанку (Сургут, регистрационный № 588).</dd>]"	ликв.	/banks/memory/bank/?id=199696
Темерницкая Таможня	97	24.03.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации путем присоединения к Ростпромстройбанку (Ростов-на-Дону, регистрационный № 1705).</dd>]"	ликв.	/banks/memory/bank/?id=199698
Коопбанк	1477	23.02.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации путем присоединения к банку «Информтехника» (Москва, регистрационный № 1322).</dd>]"	ликв.	/banks/memory/bank/?id=244357
Лебко-Банк	1784	23.02.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к Тэпкобанку (Москва, регистрационный № 290).</dd>]"	ликв.	/banks/memory/bank/?id=244362
Мещерабанк	1228	23.01.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к АКБ «Уникомбанк» (Москва, регистрационный № 1396).</dd>]"	ликв.	/banks/memory/bank/?id=216017
Коопбизнес	1815	16.01.1995	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о прекращении его деятельности и присоединении к акционерному банку «Петр Первый» (Воронеж, регистрационный № 562, ныне Воронежпромбанк).</dd>]"	ликв.	/banks/memory/bank/?id=247271
Ковылкинский	746	09.12.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и присоединении к Акционерному коммерческому «Агропромышленному банку» (Москва, регистрационный № 1575).</dd>]"	ликв.	/banks/memory/bank/?id=210613
Холм-Жирковский Коммерческий Банк	806	09.12.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и присоединении к Акционерному коммерческому «Агропромышленному банку» (Москва, регистрационный № 1575).</dd>]"	ликв.	/banks/memory/bank/?id=210616
Бештау	1216	09.12.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением учредителей банка о прекращении его деятельности и присоединении к АКБ «Ставрополье» (Ставрополь).</dd>]"	ликв.	/banks/memory/bank/?id=242888
Курскбанк	479	02.12.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о прекращении его деятельности и присоединении к АКБ «Мосбизнесбанк» (Москва, регистрационный № 999).</dd>]"	ликв.	/banks/memory/bank/?id=207463
Ростовский Коммерческий Агропромышленный Банк	498	14.10.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности в связи с реорганизацией и присоединением к Агропромбанку (Москва, регистрационный № 1575).</dd>]"	ликв.	/banks/memory/bank/?id=207522
Вихоревский	1237	14.10.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к ОАО «Востсибкомбанк» (Иркутск, регистрационный № 1220).</dd>]"	ликв.	/banks/memory/bank/?id=217065
Углегорск	856	12.10.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к ОАО «Сахсоцбанк» (Южно-Сахалинск, регистрационный № 1044).</dd>]"	ликв.	/banks/memory/bank/?id=217056
Респект-Банк	1685	10.10.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к Межэкономсбербанку (Москва, регистрационный № 1716).</dd>]"	ликв.	/banks/memory/bank/?id=216008
Мариинский	1750	07.10.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении деятельности банка в связи с его реорганизацией и присоединением к коммерческому банку «Северный торговый банк» (Санкт-Петербург, регистрационный № 1479).</dd>]"	ликв.	/banks/memory/bank/?id=247103
Дема	751	07.10.1994	[]	ликв.	/banks/memory/bank/?id=211900
Электросталь-Банк	1791	07.10.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к КБ «Межрегионбанк» (Москва, регистрационный № 1059).</dd>]"	ликв.	/banks/memory/bank/?id=217062
Банк СК	2081	07.10.1994	[]	ликв.	/banks/memory/bank/?id=248307
Волтайр	2087	26.09.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации и присоединении к Русскому Южному Банку (Волгоград, регистрационный № 2093).</dd>]"	ликв.	/banks/memory/bank/?id=210024
Агроком	837	26.09.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о реорганизации и присоединении к коммерческому банку «Икмэк Банк» (Туймазы, регистрационный № 2377), ныне — Инвесткапиталбанк.</dd>]"	ликв.	/banks/memory/bank/?id=210057
Гиагинский	786	26.09.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к акционерному банку «Новация» (Майкоп, регистрационный № 840).</dd>]"	ликв.	/banks/memory/bank/?id=210060
Касимовкомбанк	869	26.09.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к коммерческому банку «Прио-Внешторгбанк» (Рязань, регистрационный № 212).</dd>]"	ликв.	/banks/memory/bank/?id=210067
Бизнес-Кредит-Банк	2173	26.09.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к акционерному банку «Аэрофлот» (Москва, регистрационный № 36).</dd>]"	ликв.	/banks/memory/bank/?id=210075
Сато-Банк	2009	26.09.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности в связи с ликвидацией.</dd>]"	ликв.	/banks/memory/bank/?id=248264
Шилкинский	1029	06.09.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к АКБ «Забайкалзолотобанк» (Чита, регистрационный № 2353).</dd>]"	ликв.	/banks/memory/bank/?id=221744
Кабельбанк	2107	06.09.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к АБ «Челныбанк» (Набережные Челны, регистрационный № 2234).</dd>]"	ликв.	/banks/memory/bank/?id=221748
Губкинский	1111	16.08.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков коммерческого банка «Губкинский» о прекращении деятельности банка и его присоединении к акционерному банку «Мосстройбанк» (Москва, регистрационный № 89).</dd>]"	ликв.	/banks/memory/bank/?id=196041
Невельск	502	02.08.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков коммерческого банка «Невельск» о прекращении его деятельности и присоединении к коммерческому банку «Аксбанк» (Южно-Сахалинск, регистрационный № 892).</dd>]"	ликв.	/banks/memory/bank/?id=207529
Глубокинский Коммерческий Банк	529	27.06.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о прекращении его деятельности и присоединении к Ростовскому коммерческому агропромышленному банку (Ростов-на-Дону, регистрационный № 498).</dd>]"	ликв.	/banks/memory/bank/?id=207490
Гергебиль	629	27.06.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о прекращении его деятельности и присоединении к банку «Нур» (с. Лаваши, Республика Дагестан, регистрационный № 1833).</dd>]"	ликв.	/banks/memory/bank/?id=207492
Тымовский	1207	06.06.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации и преобразовании в филиал коммерческого банка «Аксбанк» (Южно-Сахалинск, регистрационный № 892).</dd>]"	ликв.	/banks/memory/bank/?id=242880
Томскгарантбанк	2238	16.05.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков страхового коммерческого банка
«Томскгарантбанк» о его преобразовании в филиал коммерческого банка «Гарантбанк» (г. Новосибирск, регистрационный № 1708).</dd>]"	ликв.	/banks/memory/bank/?id=180065
Александровск-Сахалинский	1064	06.05.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал Востокинвестбанка (Владивосток, регистрационный № 86).</dd>]"	ликв.	/banks/memory/bank/?id=238130
Дылым	630	06.05.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал «Агропромбанка» (Москва, регистрационный № 1575).</dd>]"	ликв.	/banks/memory/bank/?id=209369
Маркс-Банк	519	06.05.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации в форме присоединения к АКБ «Комплексбанк» (Саратов, регистрационный № 544).</dd>]"	ликв.	/banks/memory/bank/?id=207581
Покровск	829	06.05.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации в форме присоединения к АКБ «Комплексбанк» (Саратов, регистрационный № 544).</dd>]"	ликв.	/banks/memory/bank/?id=207583
Упоровский Коммерческий Банк	881	13.04.1994	[]	ликв.	/banks/memory/bank/?id=217128
Самур	747	13.04.1994	[]	ликв.	/banks/memory/bank/?id=210619
Степновский	1178	13.04.1994	[]	ликв.	/banks/memory/bank/?id=238320
Горняк-Банк	1031	04.04.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал Агропромбанка (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=237291
Кытманово-Банк	1079	04.04.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал Агропромбанка (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=237293
СОТЭФ	592	21.03.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров Коммерческого акционерного банка «СОТЭФ""(сотрудничество-эффективность) о прекращении его деятельности и преобразовании в филиал
Промстройбанка России (Москва, регистрационный № 1449).</dd>]"	ликв.	/banks/memory/bank/?id=209209
Ингашкомбанк	1133	21.03.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с принятием пайщиками банка решения о его преобразовании в филиал «Агропромбанка» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=238286
Гелиос-Банк	1907	05.03.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал акционерного банка «Лефортовский» (Москва регистрационный № 1156).</dd>]"	ликв.	/banks/memory/bank/?id=247299
Бежта	1038	15.02.1994	[]	ликв.	/banks/memory/bank/?id=237298
Аир	1219	31.01.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал «Внешторгбанка АТР» (Владивосток, регистрационный № 2239).</dd>]"	ликв.	/banks/memory/bank/?id=242890
Семеновский Коммерческий Банк	1241	13.01.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков Семеновского коммерческого банка о его преобразовании в филиал Нижегородпромстройбанка (г.Нижний Новгород, регистрационный № 1851).</dd>]"	ликв.	/banks/memory/bank/?id=194235
Кондопожский	587	13.01.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров акционерного банка «Кондопожский» о его преобразовании в филиал коммерческого банка «Межкомбанк» (Москва, регистрационный № 306).</dd>]"	ликв.	/banks/memory/bank/?id=194238
Мосэлбанк	2060	13.01.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков коммерческого банка «Мосэлбанк""
о его преобразовании в филиал акционерно-коммерческого банка «Кубаньэлектронбанк» (г.Горячий Ключ, Краснодарский край, регистрационный № 2181).</dd>]"	ликв.	/banks/memory/bank/?id=194246
Вачский Коммерческий Банк	1082	13.01.1994	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков «Вачского коммерческого банка» о его преобразовании в филиал акционерного коммерческого банка «Нижегородский банкирский дом» (г.Нижний Новгород).</dd>]"	ликв.	/banks/memory/bank/?id=194249
Октябрьскземкомбанк	1012	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал «Россельхозбанка» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=221716
Очерский Агропромышленный Коммерческий Банк	1013	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал «Россельхозбанка» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=221719
Крестьянкомбанк	1014	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал «Россельхозбанка» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=221726
Тлярата	924	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал коммерческого банка «Горы Дагестана» (Махачкала, регистрационный № 1926).</dd>]"	ликв.	/banks/memory/bank/?id=219704
Барлык	940	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал коммерческого банка «Горы Дагестана» (Махачкала, регистрационный № 1926).</dd>]"	ликв.	/banks/memory/bank/?id=219710
Хунзахский	946	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал коммерческого банка «Эно» (Махачкала, регистрационный № 1988).</dd>]"	ликв.	/banks/memory/bank/?id=219728
Кумухский	759	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал коммерческого банка «Горы Дагестана» (Махачкала, регистрационный № 1926).</dd>]"	ликв.	/banks/memory/bank/?id=215905
Стройфинбанк	2122	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал «Уральского банка реконструкции и развития» (Екатеринбург, регистрационный № 429).</dd>]"	ликв.	/banks/memory/bank/?id=248528
Цовкра	632	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал коммерческого банка «Горы Дагестана» (Махачкала, регистрационный № 1926).</dd>]"	ликв.	/banks/memory/bank/?id=209378
Новолакский	1169	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал АКБ «Кавказский биржевой банк» (Махачкала, регистрационный № 1895).</dd>]"	ликв.	/banks/memory/bank/?id=238310
Левашинский	809	24.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал коммерческого банка «Горы Дагестана» (Махачкала, регистрационный № 1926).</dd>]"	ликв.	/banks/memory/bank/?id=216559
Регионкомбанк	852	09.12.1993	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208660
Уркарах	647	09.12.1993	[]	ликв.	/banks/memory/bank/?id=209517
Кайтаг	1783	09.12.1993	[]	ликв.	/banks/memory/bank/?id=247230
Курахский	642	08.12.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности и преобразовании в филиал коммерческого банка «Горы Дагестана» (Махачкала, регистрационный № 1926).</dd>]"	ликв.	/banks/memory/bank/?id=209449
