Банк	Лицензия	ликвдата	причина	статус	хреф
Стимул	1313	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215987
Матвеевкасельхозбанк	1224	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215989
Светлыйсельхозбанк	1185	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215992
Северный Сельхозбанк	1346	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215994
Сакмара	1072	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215998
Москворецкий Коммерческий Банк	284	13.11.1992	"[<dd class=""margin-bottom-zero"">В 1992 году банк преобразован в «Акционерный хлебный банк» (ЗАО АКБ «Хлебобанк», лицензия № 1812).</dd>]"	ликв.	/banks/memory/bank/?id=203999
Пономаревкасельхозбанк	1392	03.11.1992	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о прекращении его деятельности как самостоятельного коммерческого банка и его преобразовании в филиал Россельхозбанка (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=210452
Павловск-Банк	1023	03.11.1992	[]	ликв.	/banks/memory/bank/?id=210456
Переволоцксельхозбанк	994	03.11.1992	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о прекращении его деятельности как самостоятельного коммерческого банка и его преобразовании в филиал Россельхозбанка (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=210460
Мокшанский	711	03.11.1992	[]	ликв.	/banks/memory/bank/?id=210465
Черепановский	1066	03.11.1992	[]	ликв.	/banks/memory/bank/?id=210467
Татарский Коммерческий Банк	1077	03.11.1992	[]	ликв.	/banks/memory/bank/?id=210471
Тогучинский Коммерческий Банк	932	03.11.1992	[]	ликв.	/banks/memory/bank/?id=210473
Омь	785	03.11.1992	[]	ликв.	/banks/memory/bank/?id=210475
Родник	682	03.11.1992	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении деятельности «Родника» как самостоятельного банка и его преобразовании в филиал Россельхозбанка (Москва). Незадолго до этого — в октябре 1992 года — у банка была отозвана лицензия без ликвидации регистрационной записи, что позволило ему осуществить реорганизацию.</dd>]"	ликв.	/banks/memory/bank/?id=210397
Каменский	742	03.11.1992	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности как самостоятельного и преобразовании в филиал Россельхозбанка (Москва). Незадолго до этого — в октябре 1992 года — Центробанка аннулировал запись о регистрации устава банка, однако дал разрешение на его реорганизацию.</dd>]"	ликв.	/banks/memory/bank/?id=210408
Промбизнесбанк	1349	27.10.1992	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к ОАО «Прио-Внешторгбанк» (Рязань, регистрационный № 212).</dd>]"	ликв.	/banks/memory/bank/?id=216006
Камень-Рыболовский Коммерческий Банк	1225	14.10.1992	[]	ликв.	/banks/memory/bank/?id=242893
Лыткаринский Коммерческий Банк	1286	07.09.1992	[]	ликв.	/banks/memory/bank/?id=243531
Спектрбанк	222	01.09.1992	[]	ликв.	/banks/memory/bank/?id=203720
Нерчинский	1140	12.08.1992	[]	ликв.	/banks/memory/bank/?id=238292
Дедовичибанк	863	12.08.1992	[]	ликв.	/banks/memory/bank/?id=217075
Бейсуг	517	03.08.1992	[]	ликв.	/banks/memory/bank/?id=207556
Глазковский Коммерческий Банк	1209	24.07.1992	[]	ликв.	/banks/memory/bank/?id=242886
