лицензия,дата,банк
1717,2014-04-01,Банкхаус Эрбе
1717,2014-05-01,Банкхаус Эрбе
1717,2014-06-01,Банкхаус Эрбе
1717,2014-07-01,Банкхаус Эрбе
1717,2014-08-01,Банкхаус Эрбе
1717,2014-09-01,Банкхаус Эрбе
1717,2014-10-01,Банкхаус Эрбе
1717,2014-11-01,Банкхаус Эрбе
1717,2014-12-01,Банкхаус Эрбе
1717,2015-01-01,Банкхаус Эрбе
1717,2015-02-01,Банкхаус Эрбе
1717,2015-03-01,Банкхаус Эрбе
1717,2015-04-01,Банкхаус Эрбе
1717,2015-05-01,Банкхаус Эрбе
1717,2015-06-01,Банкхаус Эрбе
1717,2015-07-01,Банкхаус Эрбе
1717,2015-08-01,Банкхаус Эрбе
1717,2015-09-01,Банкхаус Эрбе
1717,2015-10-01,Банкхаус Эрбе
1717,2015-11-01,Банкхаус Эрбе
1717,2015-12-01,Банкхаус Эрбе
1717,2016-01-01,Банкхаус Эрбе
1717,2016-02-01,Банкхаус Эрбе
1717,2016-03-01,Банкхаус Эрбе
1717,2016-04-01,Банкхаус Эрбе
1717,2016-05-01,Банкхаус Эрбе
1717,2016-06-01,Банкхаус Эрбе
1717,2016-07-01,Банкхаус Эрбе
1717,2016-08-01,Банкхаус Эрбе
1717,2016-09-01,Банкхаус Эрбе
1717,2016-10-01,Банкхаус Эрбе
1717,2016-11-01,Банкхаус Эрбе
1717,2016-12-01,Банкхаус Эрбе
1717,2017-01-01,Банкхаус Эрбе
1717,2017-02-01,Банкхаус Эрбе
1717,2017-03-01,Банкхаус Эрбе
1717,2017-04-01,Банкхаус Эрбе
1717,2017-05-01,Банкхаус Эрбе
1717,2017-06-01,Банкхаус Эрбе
1717,2017-07-01,Банкхаус Эрбе
1717,2017-08-01,Банкхаус Эрбе
1717,2017-09-01,Банкхаус Эрбе
1717,2017-10-01,Банкхаус Эрбе
1717,2017-11-01,Банкхаус Эрбе
1717,2017-12-01,Банкхаус Эрбе
1720,2010-09-01,Томскпромстройбанк
1720,2010-10-01,Томскпромстройбанк
1720,2010-11-01,Томскпромстройбанк
1720,2010-12-01,Томскпромстройбанк
1720,2011-01-01,Томскпромстройбанк
1720,2011-02-01,Томскпромстройбанк
1720,2011-03-01,Томскпромстройбанк
1720,2011-04-01,Томскпромстройбанк
1720,2011-05-01,Томскпромстройбанк
1720,2011-06-01,Томскпромстройбанк
1720,2011-07-01,Томскпромстройбанк
1720,2011-08-01,Томскпромстройбанк
1720,2011-09-01,Томскпромстройбанк
1720,2011-10-01,Томскпромстройбанк
1720,2011-11-01,Томскпромстройбанк
1720,2011-12-01,Томскпромстройбанк
1720,2012-01-01,Томскпромстройбанк
1720,2012-02-01,Томскпромстройбанк
1720,2012-03-01,Томскпромстройбанк
1720,2012-04-01,Томскпромстройбанк
1720,2012-05-01,Томскпромстройбанк
1720,2012-06-01,Томскпромстройбанк
1720,2012-07-01,Томскпромстройбанк
1720,2012-08-01,Томскпромстройбанк
1720,2012-09-01,Томскпромстройбанк
1720,2012-10-01,Томскпромстройбанк
1720,2012-11-01,Томскпромстройбанк
1720,2012-12-01,Томскпромстройбанк
1720,2013-01-01,Томскпромстройбанк
1720,2013-02-01,Томскпромстройбанк
1720,2013-03-01,Томскпромстройбанк
1720,2013-04-01,Томскпромстройбанк
1720,2013-05-01,Томскпромстройбанк
1720,2013-06-01,Томскпромстройбанк
1720,2013-07-01,Томскпромстройбанк
1720,2013-08-01,Томскпромстройбанк
1720,2013-09-01,Томскпромстройбанк
1720,2013-10-01,Томскпромстройбанк
1720,2013-11-01,Томскпромстройбанк
1720,2013-12-01,Томскпромстройбанк
1720,2014-01-01,Томскпромстройбанк
1720,2014-02-01,Томскпромстройбанк
1720,2014-03-01,Томскпромстройбанк
1720,2014-04-01,Томскпромстройбанк
1720,2014-05-01,Томскпромстройбанк
1720,2014-06-01,Томскпромстройбанк
1720,2014-07-01,Томскпромстройбанк
1720,2014-08-01,Томскпромстройбанк
1720,2014-09-01,Томскпромстройбанк
1720,2014-10-01,Томскпромстройбанк
1720,2014-11-01,Томскпромстройбанк
1720,2014-12-01,Томскпромстройбанк
1720,2015-01-01,Томскпромстройбанк
1720,2015-02-01,Томскпромстройбанк
1720,2015-03-01,Томскпромстройбанк
1720,2015-04-01,Томскпромстройбанк
1720,2015-05-01,Томскпромстройбанк
1720,2015-06-01,Томскпромстройбанк
1720,2015-07-01,Томскпромстройбанк
1720,2015-08-01,Томскпромстройбанк
1720,2015-09-01,Томскпромстройбанк
1720,2015-10-01,Томскпромстройбанк
1720,2015-11-01,Томскпромстройбанк
1720,2015-12-01,Томскпромстройбанк
1720,2016-01-01,Томскпромстройбанк
1720,2016-02-01,Томскпромстройбанк
1720,2016-03-01,Томскпромстройбанк
1720,2016-04-01,Томскпромстройбанк
1720,2016-05-01,Томскпромстройбанк
1720,2016-06-01,Томскпромстройбанк
1720,2016-07-01,Томскпромстройбанк
1720,2016-08-01,Томскпромстройбанк
1720,2016-09-01,Томскпромстройбанк
1720,2016-10-01,Томскпромстройбанк
1720,2016-11-01,Томскпромстройбанк
1720,2016-12-01,Томскпромстройбанк
1720,2017-01-01,Томскпромстройбанк
1720,2017-02-01,Томскпромстройбанк
1720,2017-03-01,Томскпромстройбанк
1720,2017-04-01,Томскпромстройбанк
1720,2017-05-01,Томскпромстройбанк
1720,2017-06-01,Томскпромстройбанк
1720,2017-07-01,Томскпромстройбанк
1720,2017-08-01,Томскпромстройбанк
1720,2017-09-01,Томскпромстройбанк
1720,2017-10-01,Томскпромстройбанк
1720,2017-11-01,Томскпромстройбанк
1720,2017-12-01,Томскпромстройбанк
1724,2010-09-01,ИР-Кредит
1724,2010-10-01,ИР-Кредит
1724,2010-11-01,ИР-Кредит
1724,2010-12-01,ИР-Кредит
1724,2011-01-01,ИР-Кредит
1724,2011-02-01,ИР-Кредит
1724,2011-03-01,ИР-Кредит
1724,2011-04-01,ИР-Кредит
1724,2011-05-01,ИР-Кредит
1724,2011-06-01,ИР-Кредит
1724,2011-07-01,ИР-Кредит
1724,2011-08-01,ИР-Кредит
1724,2011-09-01,ИР-Кредит
1724,2011-10-01,ИР-Кредит
1724,2011-11-01,ИР-Кредит
1724,2011-12-01,ИР-Кредит
1724,2012-01-01,ИР-Кредит
1724,2012-02-01,ИР-Кредит
1724,2012-03-01,ИР-Кредит
1724,2012-04-01,ИР-Кредит
1724,2012-05-01,ИР-Кредит
1724,2012-06-01,ИР-Кредит
1724,2012-07-01,ИР-Кредит
1724,2012-08-01,ИР-Кредит
1724,2012-09-01,ИР-Кредит
1724,2012-10-01,ИР-Кредит
1724,2012-11-01,ИР-Кредит
1724,2012-12-01,ИР-Кредит
1724,2013-01-01,ИР-Кредит
1724,2013-02-01,ИР-Кредит
1724,2013-03-01,ИР-Кредит
1724,2013-04-01,ИР-Кредит
1724,2013-05-01,ИР-Кредит
1724,2013-06-01,ИР-Кредит
1724,2013-07-01,ИР-Кредит
1724,2013-08-01,ИР-Кредит
1724,2013-09-01,ИР-Кредит
1724,2013-10-01,ИР-Кредит
1724,2013-11-01,ИР-Кредит
1724,2013-12-01,ИР-Кредит
1724,2014-01-01,ИР-Кредит
1724,2014-02-01,ИР-Кредит
1724,2014-03-01,ИР-Кредит
1724,2014-04-01,ИР-Кредит
1724,2014-05-01,ИР-Кредит
1724,2014-06-01,ИР-Кредит
1724,2014-07-01,ИР-Кредит
1724,2014-08-01,ИР-Кредит
1724,2014-09-01,ИР-Кредит
1724,2014-10-01,ИР-Кредит
1724,2014-11-01,ИР-Кредит
1724,2014-12-01,ИР-Кредит
1724,2015-01-01,ИР-Кредит
1724,2015-01-01,ИР-Кредит
1724,2015-02-01,ИР-Кредит
1724,2015-03-01,ИР-Кредит
1724,2015-04-01,ИР-Кредит
1724,2015-05-01,ИР-Кредит
1724,2015-06-01,ИР-Кредит
1724,2015-08-01,ИР-Кредит
1724,2015-09-01,ИР-Кредит
1724,2015-10-01,ИР-Кредит
1724,2015-11-01,ИР-Кредит
1724,2015-12-01,ИР-Кредит
1724,2016-01-01,ИР-Кредит
1724,2016-02-01,ИР-Кредит
1724,2016-03-01,ИР-Кредит
1724,2016-04-01,ИР-Кредит
1724,2016-05-01,ИР-Кредит
1724,2016-06-01,ИР-Кредит
1724,2016-07-01,ИР-Кредит
1724,2016-08-01,ИР-Кредит
1724,2016-09-01,ИР-Кредит
1724,2016-10-01,ИР-Кредит
1724,2016-11-01,ИР-Кредит
1724,2016-12-01,ИР-Кредит
1724,2017-01-01,ИР-Кредит
1724,2017-02-01,ИР-Кредит
1724,2017-03-01,ИР-Кредит
1724,2017-04-01,ИР-Кредит
1724,2017-05-01,ИР-Кредит
1730,2010-02-01,Первый Республиканский Банк
1730,2010-03-01,Первый Республиканский Банк
1730,2010-04-01,Первый Республиканский Банк
1730,2010-05-01,Первый Республиканский Банк
1730,2010-06-01,Первый Республиканский Банк
1730,2010-07-01,Первый Республиканский Банк
1730,2010-08-01,Первый Республиканский Банк
1730,2010-09-01,Первый Республиканский Банк
1730,2010-10-01,Первый Республиканский Банк
1730,2010-11-01,Первый Республиканский Банк
1730,2010-12-01,Первый Республиканский Банк
1730,2011-01-01,Первый Республиканский Банк
1730,2011-02-01,Первый Республиканский Банк
1730,2011-03-01,Первый Республиканский Банк
1730,2011-04-01,Первый Республиканский Банк
1730,2011-05-01,Первый Республиканский Банк
1730,2011-06-01,Первый Республиканский Банк
1730,2011-07-01,Первый Республиканский Банк
1730,2011-08-01,Первый Республиканский Банк
1730,2011-09-01,Первый Республиканский Банк
1730,2011-10-01,Первый Республиканский Банк
1730,2011-11-01,Первый Республиканский Банк
1730,2011-12-01,Первый Республиканский Банк
1730,2012-01-01,Первый Республиканский Банк
1730,2012-02-01,Первый Республиканский Банк
1730,2012-03-01,Первый Республиканский Банк
1730,2012-04-01,Первый Республиканский Банк
1730,2012-05-01,Первый Республиканский Банк
1730,2012-06-01,Первый Республиканский Банк
1730,2012-07-01,Первый Республиканский Банк
1730,2012-08-01,Первый Республиканский Банк
1730,2012-09-01,Первый Республиканский Банк
1730,2012-10-01,Первый Республиканский Банк
1730,2012-11-01,Первый Республиканский Банк
1730,2012-12-01,Первый Республиканский Банк
1730,2013-01-01,Первый Республиканский Банк
1730,2013-02-01,Первый Республиканский Банк
1730,2013-03-01,Первый Республиканский Банк
1730,2013-04-01,Первый Республиканский Банк
1730,2013-05-01,Первый Республиканский Банк
1730,2013-06-01,Первый Республиканский Банк
1730,2013-07-01,Первый Республиканский Банк
1730,2013-08-01,Первый Республиканский Банк
1730,2013-09-01,Первый Республиканский Банк
1730,2013-10-01,Первый Республиканский Банк
1730,2013-11-01,Первый Республиканский Банк
1730,2013-12-01,Первый Республиканский Банк
1730,2014-01-01,Первый Республиканский Банк
1730,2014-02-01,Первый Республиканский Банк
1730,2014-03-01,Первый Республиканский Банк
1730,2014-04-01,Первый Республиканский Банк
1732,2010-02-01,ИК Банк
1732,2010-03-01,ИК Банк
1732,2010-05-01,ИК Банк
1732,2010-06-01,ИК Банк
1732,2010-07-01,ИК Банк
1732,2010-08-01,ИК Банк
1732,2010-10-01,ИК Банк
1732,2010-11-01,ИК Банк
1732,2010-12-01,ИК Банк
1732,2014-07-01,ИК Банк
1732,2014-08-01,ИК Банк
1732,2014-09-01,ИК Банк
1732,2014-10-01,ИК Банк
1732,2014-11-01,ИК Банк
1732,2014-12-01,ИК Банк
1732,2015-01-01,ИК Банк
1732,2015-01-01,ИК Банк
1732,2015-02-01,ИК Банк
1732,2015-03-01,ИК Банк
1732,2015-04-01,ИК Банк
1732,2015-05-01,ИК Банк
1732,2015-06-01,ИК Банк
1732,2015-08-01,ИК Банк
1732,2015-09-01,ИК Банк
1732,2015-10-01,ИК Банк
1732,2015-11-01,ИК Банк
1732,2015-12-01,ИК Банк
1732,2016-01-01,ИК Банк
1732,2016-02-01,ИК Банк
1732,2016-03-01,ИК Банк
1732,2016-04-01,ИК Банк
1732,2016-05-01,ИК Банк
1732,2016-06-01,ИК Банк
1732,2016-07-01,ИК Банк
1732,2016-08-01,ИК Банк
1732,2016-09-01,ИК Банк
1732,2016-10-01,ИК Банк
1732,2016-11-01,ИК Банк
1732,2016-12-01,ИК Банк
1732,2017-01-01,ИК Банк
1732,2017-02-01,ИК Банк
1732,2017-03-01,ИК Банк
1732,2017-04-01,ИК Банк
1732,2017-05-01,ИК Банк
1732,2017-06-01,ИК Банк
1732,2017-07-01,ИК Банк
1732,2017-08-01,ИК Банк
1732,2017-09-01,ИК Банк
1732,2017-10-01,ИК Банк
1732,2017-11-01,ИК Банк
1732,2017-12-01,ИК Банк
1734,2010-02-01,Ганзакомбанк
1734,2010-03-01,Ганзакомбанк
1734,2010-04-01,Ганзакомбанк
1734,2010-05-01,Ганзакомбанк
1734,2010-06-01,Ганзакомбанк
1734,2010-07-01,Ганзакомбанк
1734,2010-08-01,Ганзакомбанк
1734,2010-09-01,Ганзакомбанк
1734,2010-10-01,Ганзакомбанк
1734,2010-11-01,Ганзакомбанк
1734,2010-12-01,Ганзакомбанк
1734,2011-01-01,Ганзакомбанк
1734,2011-02-01,Ганзакомбанк
1734,2011-03-01,Ганзакомбанк
1734,2011-04-01,Ганзакомбанк
1734,2011-05-01,Ганзакомбанк
1734,2011-06-01,Ганзакомбанк
1734,2011-07-01,Ганзакомбанк
1734,2011-08-01,Ганзакомбанк
1734,2011-09-01,Ганзакомбанк
1734,2011-10-01,Ганзакомбанк
1734,2011-11-01,Ганзакомбанк
1734,2011-12-01,Ганзакомбанк
1734,2012-01-01,Ганзакомбанк
1734,2012-02-01,Ганзакомбанк
1734,2012-03-01,Ганзакомбанк
1734,2012-04-01,Ганзакомбанк
1734,2012-05-01,Ганзакомбанк
1734,2012-06-01,Ганзакомбанк
1734,2012-07-01,Ганзакомбанк
1734,2012-08-01,Ганзакомбанк
1734,2012-09-01,Ганзакомбанк
1734,2012-10-01,Ганзакомбанк
1734,2012-11-01,Ганзакомбанк
1734,2012-12-01,Ганзакомбанк
1734,2013-01-01,Ганзакомбанк
1734,2013-02-01,Ганзакомбанк
1734,2013-03-01,Ганзакомбанк
1734,2013-04-01,Ганзакомбанк
1734,2013-05-01,Ганзакомбанк
1734,2013-06-01,Ганзакомбанк
1734,2013-07-01,Ганзакомбанк
1734,2013-08-01,Ганзакомбанк
1734,2013-09-01,Ганзакомбанк
1734,2013-10-01,Ганзакомбанк
1734,2013-11-01,Ганзакомбанк
1734,2013-12-01,Ганзакомбанк
1734,2014-01-01,Ганзакомбанк
1734,2014-02-01,Ганзакомбанк
1734,2014-03-01,Ганзакомбанк
1734,2014-04-01,Ганзакомбанк
1734,2014-05-01,Ганзакомбанк
1734,2014-06-01,Ганзакомбанк
1734,2014-07-01,Ганзакомбанк
1734,2014-08-01,Ганзакомбанк
1734,2014-09-01,Ганзакомбанк
1734,2014-10-01,Ганзакомбанк
1734,2014-11-01,Ганзакомбанк
1734,2014-12-01,Ганзакомбанк
1734,2015-01-01,Ганзакомбанк
1734,2015-02-01,Ганзакомбанк
1734,2015-03-01,Ганзакомбанк
1734,2015-04-01,Ганзакомбанк
1736,2010-02-01,Жилкредит
1736,2010-03-01,Жилкредит
1736,2010-04-01,Жилкредит
1736,2010-05-01,Жилкредит
1736,2010-06-01,Жилкредит
1736,2010-07-01,Жилкредит
1736,2010-08-01,Жилкредит
1736,2010-09-01,Жилкредит
1736,2010-10-01,Жилкредит
1736,2010-11-01,Жилкредит
1736,2010-12-01,Жилкредит
1736,2011-01-01,Жилкредит
1736,2011-02-01,Жилкредит
1736,2011-03-01,Жилкредит
1736,2011-04-01,Жилкредит
1736,2011-05-01,Жилкредит
1736,2011-06-01,Жилкредит
1736,2011-07-01,Жилкредит
1736,2011-08-01,Жилкредит
1736,2011-09-01,Жилкредит
1736,2011-10-01,Жилкредит
1736,2011-11-01,Жилкредит
1736,2011-12-01,Жилкредит
1736,2012-01-01,Жилкредит
1736,2012-02-01,Жилкредит
1736,2012-03-01,Жилкредит
1736,2012-04-01,Жилкредит
1736,2012-05-01,Жилкредит
1736,2012-06-01,Жилкредит
1736,2012-07-01,Жилкредит
1736,2012-08-01,Жилкредит
1736,2012-09-01,Жилкредит
1736,2012-10-01,Жилкредит
1736,2012-11-01,Жилкредит
1736,2012-12-01,Жилкредит
1736,2013-01-01,Жилкредит
1736,2013-02-01,Жилкредит
1736,2013-03-01,Жилкредит
1736,2013-04-01,Жилкредит
1736,2013-05-01,Жилкредит
1736,2013-06-01,Жилкредит
1736,2013-07-01,Жилкредит
1736,2013-08-01,Жилкредит
1736,2013-09-01,Жилкредит
1736,2013-10-01,Жилкредит
1736,2013-11-01,Жилкредит
1736,2013-12-01,Жилкредит
1736,2014-01-01,Жилкредит
1736,2014-02-01,Жилкредит
1736,2014-03-01,Жилкредит
1736,2014-04-01,Жилкредит
1736,2014-05-01,Жилкредит
1736,2014-06-01,Жилкредит
1736,2014-07-01,Жилкредит
1736,2014-08-01,Жилкредит
1736,2014-09-01,Жилкредит
1736,2014-10-01,Жилкредит
1736,2014-11-01,Жилкредит
1736,2014-12-01,Жилкредит
1736,2015-01-01,Жилкредит
1736,2015-01-01,Жилкредит
1736,2015-02-01,Жилкредит
1736,2015-03-01,Жилкредит
1736,2015-04-01,Жилкредит
1736,2015-05-01,Жилкредит
1736,2015-06-01,Жилкредит
1736,2015-08-01,Жилкредит
1736,2015-09-01,Жилкредит
1736,2015-10-01,Жилкредит
1736,2015-11-01,Жилкредит
1736,2015-12-01,Жилкредит
1736,2016-01-01,Жилкредит
1736,2016-02-01,Жилкредит
1736,2016-03-01,Жилкредит
1736,2016-04-01,Жилкредит
1736,2016-05-01,Жилкредит
1736,2016-06-01,Жилкредит
1736,2016-07-01,Жилкредит
1736,2016-08-01,Жилкредит
1736,2016-09-01,Жилкредит
1736,2016-10-01,Жилкредит
1736,2016-11-01,Жилкредит
1736,2016-12-01,Жилкредит
1736,2017-01-01,Жилкредит
1736,2017-02-01,Жилкредит
1736,2017-03-01,Жилкредит
1736,2017-04-01,Жилкредит
1736,2017-05-01,Жилкредит
1736,2017-06-01,Жилкредит
1736,2017-07-01,Жилкредит
1736,2017-08-01,Жилкредит
1736,2017-09-01,Жилкредит
1736,2017-10-01,Жилкредит
1736,2017-11-01,Жилкредит
1736,2017-12-01,Жилкредит
1738,2010-02-01,НСТ-Банк
1738,2010-04-01,НСТ-Банк
1738,2010-09-01,НСТ-Банк
1738,2010-10-01,НСТ-Банк
1738,2010-11-01,НСТ-Банк
1738,2011-01-01,НСТ-Банк
1738,2011-02-01,НСТ-Банк
1738,2011-03-01,НСТ-Банк
1738,2011-04-01,НСТ-Банк
1738,2011-05-01,НСТ-Банк
1738,2011-06-01,НСТ-Банк
1738,2011-07-01,НСТ-Банк
1738,2011-08-01,НСТ-Банк
1738,2011-09-01,НСТ-Банк
1738,2011-10-01,НСТ-Банк
1738,2011-11-01,НСТ-Банк
1738,2011-12-01,НСТ-Банк
1738,2012-01-01,НСТ-Банк
1738,2012-02-01,НСТ-Банк
1738,2012-03-01,НСТ-Банк
1738,2012-04-01,НСТ-Банк
1738,2012-05-01,НСТ-Банк
1738,2012-06-01,НСТ-Банк
1738,2012-07-01,НСТ-Банк
1738,2012-08-01,НСТ-Банк
1738,2012-09-01,НСТ-Банк
1738,2012-10-01,НСТ-Банк
1738,2012-11-01,НСТ-Банк
1738,2012-12-01,НСТ-Банк
1738,2013-01-01,НСТ-Банк
1738,2013-02-01,НСТ-Банк
1738,2013-03-01,НСТ-Банк
1738,2013-04-01,НСТ-Банк
1738,2013-05-01,НСТ-Банк
1738,2013-06-01,НСТ-Банк
1738,2013-07-01,НСТ-Банк
1738,2013-08-01,НСТ-Банк
1738,2013-09-01,НСТ-Банк
1738,2013-10-01,НСТ-Банк
1738,2013-11-01,НСТ-Банк
1738,2013-12-01,НСТ-Банк
1738,2014-01-01,НСТ-Банк
1738,2014-02-01,НСТ-Банк
1738,2014-03-01,НСТ-Банк
1738,2014-04-01,НСТ-Банк
1738,2014-05-01,НСТ-Банк
1738,2014-06-01,НСТ-Банк
1738,2014-07-01,НСТ-Банк
1738,2014-08-01,НСТ-Банк
1738,2014-09-01,НСТ-Банк
1738,2014-10-01,НСТ-Банк
1738,2014-11-01,НСТ-Банк
1738,2014-12-01,НСТ-Банк
1738,2015-09-01,НСТ-Банк
1738,2015-11-01,НСТ-Банк
1743,2010-02-01,Сберинвестбанк
1743,2010-03-01,Сберинвестбанк
1743,2010-04-01,Сберинвестбанк
1743,2010-05-01,Сберинвестбанк
1743,2010-06-01,Сберинвестбанк
1743,2010-07-01,Сберинвестбанк
1743,2010-08-01,Сберинвестбанк
1743,2010-09-01,Сберинвестбанк
1743,2010-10-01,Сберинвестбанк
1743,2010-11-01,Сберинвестбанк
1743,2010-12-01,Сберинвестбанк
1743,2011-01-01,Сберинвестбанк
1743,2011-02-01,Сберинвестбанк
1743,2011-03-01,Сберинвестбанк
1743,2011-04-01,Сберинвестбанк
1743,2011-05-01,Сберинвестбанк
1743,2011-06-01,Сберинвестбанк
1743,2011-07-01,Сберинвестбанк
1743,2011-08-01,Сберинвестбанк
1743,2011-09-01,Сберинвестбанк
1743,2011-10-01,Сберинвестбанк
1743,2011-11-01,Сберинвестбанк
1743,2011-12-01,Сберинвестбанк
1743,2012-01-01,Сберинвестбанк
1743,2012-02-01,Сберинвестбанк
1743,2012-03-01,Сберинвестбанк
1743,2012-04-01,Сберинвестбанк
1743,2012-05-01,Сберинвестбанк
1743,2012-06-01,Сберинвестбанк
1743,2012-07-01,Сберинвестбанк
1743,2012-08-01,Сберинвестбанк
1743,2012-09-01,Сберинвестбанк
1743,2012-10-01,Сберинвестбанк
1743,2012-11-01,Сберинвестбанк
1743,2012-12-01,Сберинвестбанк
1743,2013-01-01,Сберинвестбанк
1743,2013-02-01,Сберинвестбанк
1743,2013-03-01,Сберинвестбанк
1743,2013-04-01,Сберинвестбанк
1743,2013-05-01,Сберинвестбанк
1743,2013-06-01,Сберинвестбанк
1743,2013-07-01,Сберинвестбанк
1743,2013-08-01,Сберинвестбанк
1743,2013-09-01,Сберинвестбанк
1743,2013-10-01,Сберинвестбанк
1743,2013-11-01,Сберинвестбанк
1743,2013-12-01,Сберинвестбанк
1743,2014-01-01,Сберинвестбанк
1743,2014-02-01,Сберинвестбанк
1743,2014-03-01,Сберинвестбанк
1745,2010-02-01,БыстроБанк
1745,2010-03-01,БыстроБанк
1745,2010-04-01,БыстроБанк
1745,2010-05-01,БыстроБанк
1745,2010-06-01,БыстроБанк
1745,2010-07-01,БыстроБанк
1745,2010-08-01,БыстроБанк
1745,2010-09-01,БыстроБанк
1745,2010-10-01,БыстроБанк
1745,2010-11-01,БыстроБанк
1745,2010-12-01,БыстроБанк
1745,2011-01-01,БыстроБанк
1745,2011-02-01,БыстроБанк
1745,2011-03-01,БыстроБанк
1745,2011-04-01,БыстроБанк
1745,2011-05-01,БыстроБанк
1745,2011-06-01,БыстроБанк
1745,2011-07-01,БыстроБанк
1745,2011-08-01,БыстроБанк
1745,2011-09-01,БыстроБанк
1745,2011-10-01,БыстроБанк
1745,2011-11-01,БыстроБанк
1745,2011-12-01,БыстроБанк
1745,2012-01-01,БыстроБанк
1745,2012-02-01,БыстроБанк
1745,2012-03-01,БыстроБанк
1745,2012-04-01,БыстроБанк
1745,2012-05-01,БыстроБанк
1745,2012-06-01,БыстроБанк
1745,2012-07-01,БыстроБанк
1745,2012-08-01,БыстроБанк
1745,2012-09-01,БыстроБанк
1745,2012-10-01,БыстроБанк
1745,2012-11-01,БыстроБанк
1745,2012-12-01,БыстроБанк
1745,2013-01-01,БыстроБанк
1745,2013-02-01,БыстроБанк
1745,2013-03-01,БыстроБанк
1745,2013-04-01,БыстроБанк
1745,2013-05-01,БыстроБанк
1745,2013-06-01,БыстроБанк
1745,2013-07-01,БыстроБанк
1745,2013-08-01,БыстроБанк
1745,2013-09-01,БыстроБанк
1745,2013-10-01,БыстроБанк
1745,2013-11-01,БыстроБанк
1745,2013-12-01,БыстроБанк
1745,2014-01-01,БыстроБанк
1745,2014-02-01,БыстроБанк
1745,2014-03-01,БыстроБанк
1745,2014-04-01,БыстроБанк
1745,2014-05-01,БыстроБанк
1745,2014-06-01,БыстроБанк
1745,2014-07-01,БыстроБанк
1745,2014-08-01,БыстроБанк
1745,2014-09-01,БыстроБанк
1745,2014-10-01,БыстроБанк
1745,2014-11-01,БыстроБанк
1745,2014-12-01,БыстроБанк
1745,2015-01-01,БыстроБанк
1745,2015-02-01,БыстроБанк
1745,2015-03-01,БыстроБанк
1745,2015-04-01,БыстроБанк
1745,2015-05-01,БыстроБанк
1745,2015-06-01,БыстроБанк
1745,2015-08-01,БыстроБанк
1745,2015-09-01,БыстроБанк
1745,2015-10-01,БыстроБанк
1745,2015-11-01,БыстроБанк
1745,2015-12-01,БыстроБанк
1745,2016-01-01,БыстроБанк
1745,2016-02-01,БыстроБанк
1745,2016-03-01,БыстроБанк
1745,2016-04-01,БыстроБанк
1745,2016-05-01,БыстроБанк
1745,2016-06-01,БыстроБанк
1745,2016-07-01,БыстроБанк
1745,2016-08-01,БыстроБанк
1745,2016-09-01,БыстроБанк
1745,2016-10-01,БыстроБанк
1745,2016-11-01,БыстроБанк
1745,2016-12-01,БыстроБанк
1745,2017-01-01,БыстроБанк
1745,2017-02-01,БыстроБанк
1745,2017-03-01,БыстроБанк
1745,2017-04-01,БыстроБанк
1745,2017-05-01,БыстроБанк
1745,2017-06-01,БыстроБанк
1745,2017-07-01,БыстроБанк
1745,2017-08-01,БыстроБанк
1745,2017-09-01,БыстроБанк
1745,2017-10-01,БыстроБанк
1745,2017-11-01,БыстроБанк
1745,2017-12-01,БыстроБанк
1747,2010-09-01,Новокиб
1747,2010-10-01,Новокиб
1747,2010-11-01,Новокиб
1747,2010-12-01,Новокиб
1747,2011-01-01,Новокиб
1747,2011-02-01,Новокиб
1747,2011-03-01,Новокиб
1747,2011-04-01,Новокиб
1747,2011-05-01,Новокиб
1747,2011-06-01,Новокиб
1747,2011-07-01,Новокиб
1747,2011-08-01,Новокиб
1747,2011-09-01,Новокиб
1747,2011-10-01,Новокиб
1747,2011-11-01,Новокиб
1747,2011-12-01,Новокиб
1747,2012-01-01,Новокиб
1747,2012-02-01,Новокиб
1747,2012-03-01,Новокиб
1747,2012-04-01,Новокиб
1747,2012-05-01,Новокиб
1747,2012-06-01,Новокиб
1747,2012-07-01,Новокиб
1747,2012-08-01,Новокиб
1747,2012-09-01,Новокиб
1747,2012-10-01,Новокиб
1747,2012-11-01,Новокиб
1747,2012-12-01,Новокиб
1747,2013-01-01,Новокиб
1747,2013-02-01,Новокиб
1747,2013-03-01,Новокиб
1747,2013-04-01,Новокиб
1747,2013-05-01,Новокиб
1747,2013-06-01,Новокиб
1747,2013-07-01,Новокиб
1747,2013-08-01,Новокиб
1747,2013-09-01,Новокиб
1747,2013-10-01,Новокиб
1747,2013-11-01,Новокиб
1747,2013-12-01,Новокиб
1747,2014-01-01,Новокиб
1747,2014-02-01,Новокиб
1747,2014-03-01,Новокиб
1747,2014-04-01,Новокиб
1747,2014-05-01,Новокиб
1747,2014-06-01,Новокиб
1747,2014-07-01,Новокиб
1747,2014-08-01,Новокиб
1747,2014-09-01,Новокиб
1747,2014-10-01,Новокиб
1747,2014-11-01,Новокиб
1747,2014-12-01,Новокиб
1747,2015-01-01,Новокиб
1747,2015-02-01,Новокиб
1747,2015-03-01,Новокиб
1747,2015-04-01,Новокиб
1747,2015-05-01,Новокиб
1747,2015-06-01,Новокиб
1747,2015-07-01,Новокиб
1747,2015-08-01,Новокиб
1747,2015-09-01,Новокиб
1747,2015-10-01,Новокиб
1747,2015-11-01,Новокиб
