Лицензия_банк,ИД_1800,дата
"Национальная Факторинговая Компания лицензия № 3437, Москва и обл.",17218,2015-02-01
"Мираф-Банк лицензия № 2244, Омская обл.",17182,2015-02-01
"ЕвроситиБанк лицензия № 1869, Москва и обл.",17167,2015-02-01
"Кемсоцинбанк лицензия № 96, Кемеровская обл.",17165,2015-02-01
"РЕСО Кредит лицензия № 3450, Москва и обл.",17140,2015-02-01
"Стандарт-Кредит лицензия № 841, Адыгея",17119,2015-02-01
"ЮМК лицензия № 3495, Краснодарский край",17079,2015-02-01
"Азия-Инвест Банк лицензия № 3303, Москва и обл.",16882,2015-02-01
"Риал-Кредит лицензия № 3393, Москва и обл.",16880,2015-02-01
"Банк ИТБ лицензия № 3128, Москва и обл.",16877,2015-02-01
"Межрегиональный Почтовый Банк лицензия № 3171, Москва и обл.",16870,2015-02-01
"Ситибанк лицензия № 2557, Москва и обл.",16824,2015-02-01
"Региональный Коммерческий Банк лицензия № 836, Ульяновская обл.",16777,2015-02-01
"Урал ФД лицензия № 249, Пермская обл.",16741,2015-02-01
"Азиатско-Тихоокеанский Банк лицензия № 1810, Амурская обл.",16596,2015-02-01
"НБД-Банк лицензия № 1966, Нижегородская обл.",16577,2015-02-01
"АМБ Банк лицензия № 3036, Москва и обл.",16553,2015-02-01
"Международный Строительный Банк лицензия № 3484, Москва и обл.",16535,2015-02-01
"Экспобанк лицензия № 2998, Москва и обл.",16530,2015-02-01
"Альфа-Банк лицензия № 1326, Москва и обл.",16477,2015-02-01
"Смолевич лицензия № 1121, Смоленская обл.",16420,2015-02-01
"Солидарность (Самара) лицензия № 554, Самарская обл.",16418,2015-02-01
"СЭБ Банк лицензия № 3235, Санкт-Петербург и обл.",16381,2015-02-01
"Берейт лицензия № 3505, Санкт-Петербург и обл.",16365,2015-02-01
"Крыловский лицензия № 456, Краснодарский край",16309,2015-02-01
"Риабанк лицензия № 3434, Москва и обл.",16305,2015-02-01
"Балаково-Банк лицензия № 444, Саратовская обл.",16293,2015-02-01
"Энтузиастбанк лицензия № 3048, Москва и обл.",16161,2015-02-01
"Клиентский лицензия № 2324, Москва и обл.",16118,2015-02-01
"Морган Стэнли Банк лицензия № 3456, Москва и обл.",16058,2015-02-01
"Юниаструм Банк лицензия № 2771, Москва и обл.",15861,2015-02-01
"Севзапинвестпромбанк лицензия № 2152, Санкт-Петербург и обл.",15840,2015-02-01
"Современные Стандарты Бизнеса лицензия № 3397, Москва и обл.",15816,2015-02-01
"Мострансбанк лицензия № 2258, Москва и обл.",15814,2015-02-01
"Сталь Банк лицензия № 2248, Москва и обл.",15799,2015-02-01
"Роял Кредит Банк лицензия № 783, Хабаровский край",15757,2015-02-01
"Уралтрансбанк лицензия № 812, Свердловская обл.",15743,2015-02-01
"Олма-Банк лицензия № 3250, Москва и обл.",15725,2015-02-01
"Банк Глобус лицензия № 2438, Москва и обл.",15650,2015-02-01
"Газпромбанк лицензия № 354, Москва и обл.",15621,2015-02-01
"Ренессанс лицензия № 1939, Москва и обл.",15594,2015-02-01
"Америкэн Экспресс Банк лицензия № 3460, Москва и обл.",15567,2015-02-01
"Генбанк лицензия № 2490, Москва и обл.",15473,2015-02-01
"Русстройбанк лицензия № 3205, Москва и обл.",15447,2015-02-01
"ИРС лицензия № 272, Москва и обл.",15421,2015-02-01
"Национальный Корпоративный Банк лицензия № 3422, Москва и обл.",15420,2015-02-01
"Кузбассхимбанк лицензия № 2868, Кемеровская обл.",15416,2015-02-01
"Москва лицензия № 1661, Москва и обл.",15408,2015-02-01
"Логос лицензия № 3233, Москва и обл.",15399,2015-02-01
"Тусар лицензия № 2712, Москва и обл.",15392,2015-02-01
"Внешфинбанк лицензия № 3173, Краснодарский край",15381,2015-02-01
"Бинбанк Диджитал лицензия № 2827, Москва и обл.",15380,2015-02-01
"Русский Торговый Банк лицензия № 2842, Москва и обл.",15370,2015-02-01
"Саратов лицензия № 330, Саратовская обл.",15288,2015-02-01
"Московский Коммерческий Банк лицензия № 3172, Москва и обл.",15157,2015-02-01
"Джей энд Ти Банк лицензия № 3061, Москва и обл.",15149,2015-02-01
"НОКССбанк лицензия № 3202, Волгоградская обл.",15019,2015-02-01
"Профессионал Банк (бывш. Наш Дом) лицензия № 3296, Москва и обл.",14983,2015-02-01
"Тульский Промышленник лицензия № 2382, Тульская обл.",14963,2015-02-01
"Интеркоммерц Банк лицензия № 1657, Москва и обл.",14960,2015-02-01
"Банк Инноваций и Развития лицензия № 2647, Москва и обл.",14937,2015-02-01
"Российский Капитал лицензия № 2312, Москва и обл.",14907,2015-02-01
"Метробанк лицензия № 2548, Москва и обл.",14893,2015-02-01
"Алжан лицензия № 2491, Дагестан",14887,2015-02-01
"М2М Прайвет Банк лицензия № 1414, Москва и обл.",14867,2015-02-01
"Меткомбанк (Череповец) лицензия № 901, Вологодская обл.",14837,2015-02-01
"Сетелем Банк лицензия № 2168, Москва и обл.",14808,2015-02-01
"Система лицензия № 2846, Москва и обл.",14796,2015-02-01
"Союзный лицензия № 3236, Москва и обл.",14754,2015-02-01
"Сургутнефтегазбанк лицензия № 588, Ханты-Мансийский АО — Югра",14683,2015-02-01
"Холдинвестбанк лицензия № 2837, Москва и обл.",14657,2015-02-01
"АвтоКредитБанк лицензия № 1973, Татарстан",14656,2015-02-01
"Внешпромбанк лицензия № 3261, Москва и обл.",14638,2015-02-01
"Оргбанк лицензия № 3312, Москва и обл.",14637,2015-02-01
"Новый Век лицензия № 3417, Москва и обл.",14612,2015-02-01
"Лайтбанк лицензия № 3177, Москва и обл.",14577,2015-02-01
"ВУЗ-Банк лицензия № 1557, Свердловская обл.",14573,2015-02-01
"Локо-Банк лицензия № 2707, Москва и обл.",14570,2015-02-01
